instrument_id,instrument_name,instrument_price,instrument_material,instrument_type,instrument_brand,instrument_img
1,KALA KA-15S Kala Mahogany Soprano Ukulele No Binding,4500,Сосна,Укулеле,KALA,https://www.muztorg.ru/files/sized/f250x250/vop/cd1/73u/00g/oc0/sso/kc0/408/vopcd173u00goc0ssokc0408.jpg
2,KALA MK-S Makala Soprano Ukulele,5900,Клен,Укулеле,KALA,https://www.muztorg.ru/files/sized/f250x250/as9/2a5/3xs/uwc/0ss/8og/8gw/48o/o/as92a53xsuwc0ss8og8gw48oo.jpg
3,FLIGHT NUC 310,5180,Пластик,Укулеле,FLIGHT,https://www.muztorg.ru/files/sized/f250x250/1ge/afj/ulf/10k/4k0/sso/gso/0kc/g/1geafjulf10k4k0ssogso0kcg.jpg
4,FLIGHT NUS 310,4670,Клен,Укулеле,FLIGHT,https://www.muztorg.ru/files/sized/f250x250/315/km4/zwd/9gk/kw4/8c0/kk0/s4s/c/315km4zwd9gkkw48c0kk0s4sc.jpg
5,FLIGHT TUS ALYONA SHVETZ,4090,Махонь,Укулеле,FLIGHT,https://www.muztorg.ru/files/sized/f250x250/23o/at4/q9n/6ro/kow/sg0/8c8/484/k/23oat4q9n6rokowsg08c8484k.png
6,VESTON KUS 15BK,2810,Сосна,Укулеле,VESTON,https://www.muztorg.ru/files/sized/f250x250/80m/net/zsm/5k4/csw/swc/c4c/8k8/c/80mnetzsm5k4cswswcc4c8k8c.jpg
7,FLIGHT NUT 310,6900,Пластик,Укулеле,FLIGHT,https://www.muztorg.ru/files/sized/f250x250/3uu/bj3/4ka/uw4/owc/cg0/cok/cwg/8/3uubj34kauw4owccg0cokcwg8.jpg
8,FLIGHT NUS 350 DC,4740,Пластик,Укулеле,FLIGHT,https://www.muztorg.ru/files/sized/f250x250/1r6/w24/wk6/0f4/o8w/4g8/gow/8ow/s/1r6w24wk60f4o8w4g8gow8ows.jpg
9,KALA MK-C Makala Concert Ukulele,4650,Липа,Укулеле,KALA,https://www.muztorg.ru/files/sized/f250x250/9nd/9wh/ijm/uko/gss/0os/cco/cwk/o/9nd9whijmukogss0osccocwko.jpg
10,FLIGHT TUS 35 DB,3250,Береза,Укулеле,FLIGHT,https://www.muztorg.ru/files/sized/f250x250/8m3/r6g/y5j/340/8ww/sk4/4kc/wog/8m3r6gy5j3408wwsk44kcwog.jpg
11,FLIGHT TUS 21P BLACK FOREST,3630,Ольха,Укулеле,FLIGHT,https://www.muztorg.ru/files/sized/f250x250/ur2/64t/hca/io4/wog/08c/84o/o8k/ur264thcaio4wog08c84oo8k.jpeg
12,Belucci XU21-11 Black,1462,Ольха,Укулеле,Belucci,https://www.muztorg.ru/files/sized/f250x250/re0/z26/6xa/v44/cw0/gsw/w88/g8c/re0z266xav44cw0gsww88g8c.jpg
13,FLIGHT NUS 310 BLACKBIRD,5300,Пластик,Укулеле,FLIGHT,https://www.muztorg.ru/files/sized/f250x250/ccs/gyk/3qp/wgg/wo8/gcs/wo4/4cc/k/ccsgyk3qpwggwo8gcswo44cck.jpg
14,FLIGHT NUB 310,7460,Сосна,Укулеле,FLIGHT,https://www.muztorg.ru/files/sized/f250x250/43k/nfk/80q/3qc/c0c/cwk/00g/s04/s/43knfk80q3qcc0ccwk00gs04s.jpg
15,FLIGHT DUC 325 SP/ZEB,7630,Липа,Укулеле,FLIGHT,https://www.muztorg.ru/files/sized/f250x250/dz6/vll/ghr/y80/g4s/w4s/sg8/o48/k/dz6vllghry80g4sw4ssg8o48k.jpg
16,FLIGHT NUC PACK,5560,Береза,Укулеле,FLIGHT,https://www.muztorg.ru/files/sized/f250x250/e0t/31d/oiw/bkk/cgo/0oc/wkc/s00/o/e0t31doiwbkkcgo0ocwkcs00o.jpg
17,WATERMAN by KALA KA-SWB-PK Soft Pink Matte Soprano Ukulele,2768,Орех,Укулеле,WATERMAN,https://www.muztorg.ru/files/sized/f250x250/272/jfa/dnv/ksg/0c0/c04/scs/cg4/c/272jfadnvksg0c0c04scscg4c.jpg
18,FLIGHT TUS 35 BK,3250,Махонь,Укулеле,FLIGHT,https://www.muztorg.ru/files/sized/f250x250/1j8/kk2/wrw/ikg/088/wsk/o8w/ssc/c/1j8kk2wrwikg088wsko8wsscc.jpg
19,ENYA EUC-20,7500,Яблоня,Укулеле,ENYA,https://www.muztorg.ru/files/sized/f250x250/6hj/j7x/xuq/uww/k8w/wgc/s8w/cwk/6hjj7xxuquwwk8wwgcs8wcwk0.jpg
20,FLIGHT DUC 323 MAH,7220,Пластик,Укулеле,FLIGHT,https://www.muztorg.ru/files/sized/f250x250/9dy/eiv/hjq/348/k48/804/ggs/80o/o/9dyeivhjq348k48804ggs80oo.jpg
21,WATERMAN by KALA KA-SWB-BK Matte Black Soprano Ukulele,2768,Липа,Укулеле,WATERMAN,https://www.muztorg.ru/files/sized/f250x250/bfm/tdg/a4q/n4g/o80/kw0/sck/cg0/8/bfmtdga4qn4go80kw0sckcg08.jpg
22,FLIGHT TUS 40 GRANADA,3630,Орех,Укулеле,FLIGHT,https://www.muztorg.ru/files/sized/f250x250/dg7/lvo/egc/5k4/goo/owo/8kg/cws/g/dg7lvoegc5k4gooowo8kgcwsg.jpg
23,FLIGHT TUS 32 SAKURA,4090,Береза,Укулеле,FLIGHT,https://www.muztorg.ru/files/sized/f250x250/aue/srp/8jy/w8o/oks/ssk/og4/cgg/c/auesrp8jyw8ookssskog4cggc.jpg
24,FLIGHT TUS 40 GRAFFITI,3640,Клен,Укулеле,FLIGHT,https://www.muztorg.ru/files/sized/f250x250/dea/q9m/cp4/xkw/8oc/s4w/sw8/8gg/k/deaq9mcp4xkw8ocs4wsw88ggk.jpg
25,FLIGHT DUC323 EQ MAH,9460,Липа,Укулеле,FLIGHT,https://www.muztorg.ru/files/sized/f250x250/d56/vhr/zfi/g0g/8s8/8g0/ssg/80k/4/d56vhrzfig0g8s88g0ssg80k4.jpg
26,EPIPHONE Les Paul Concert Ukulele Heritage Cherry Sunburst,28900,Махонь,Укулеле,EPIPHONE,https://www.muztorg.ru/files/sized/f250x250/ego/hrw/80r/8oo/cgw/c04/k40/ggo/4/egohrw80r8oocgwc04k40ggo4.jpg
27,FLIGHT DUS 320 SP/ZEB,6510,Береза,Укулеле,FLIGHT,https://www.muztorg.ru/files/sized/f250x250/369/chx/b9e/84k/8gk/48k/k4w/48k/s/369chxb9e84k8gk48kk4w48ks.jpg
28,FLIGHT TUS 50,3640,Дуб,Укулеле,FLIGHT,https://www.muztorg.ru/files/sized/f250x250/7yd/txm/dwg/4ws/kc4/8wg/ww4/cw0/k/7ydtxmdwg4wskc48wgww4cw0k.jpg
29,FENDER Ukulele VENICE Black,10700,Липа,Укулеле,FENDER,https://www.muztorg.ru/files/sized/f250x250/eq7/qce/qz7/b40/g8o/040/s4k/wow/eq7qceqz7b40g8o040s4kwow0.jpg
30,FLIGHT DU-BASS MAH/MAH,20550,Клен,Укулеле,FLIGHT,https://www.muztorg.ru/files/sized/f250x250/1xb/3t7/h09/6xw/w8k/g84/o4w/0sc/4/1xb3t7h096xww8kg84o4w0sc4.jpg
31,TERRIS JUS-20 MAYA,2210,Пластик,Укулеле,TERRIS,https://www.muztorg.ru/files/sized/f250x250/5u9/wnk/mqb/5wk/ss4/o04/ccg/wko/k/5u9wnkmqb5wkss4o04ccgwkok.jpg
32,FLIGHT TUS 35 LB,3250,Клен,Укулеле,FLIGHT,https://www.muztorg.ru/files/sized/f250x250/490/oya/is6/hmo/o84/g4o/0c0/o44/490oyais6hmoo84g4o0c0o440.jpg
33,FLIGHT NUP 310,4690,Сосна,Укулеле,FLIGHT,https://www.muztorg.ru/files/sized/f250x250/ekx/bpq/y9x/qg4/c0w/gcc/ogg/08o/g/ekxbpqy9xqg4c0wgccogg08og.jpg
34,FLIGHT Pathfinder Tenor TBK,19270,Сосна,Укулеле,FLIGHT,https://www.muztorg.ru/files/sized/f250x250/bsx/rlm/k97/r40/wk0/8ws/ogk/ck4/w/bsxrlmk97r40wk08wsogkck4w.jpeg
35,FLIGHT DUC380 JADE,6970,Клен,Укулеле,FLIGHT,https://www.muztorg.ru/files/sized/f250x250/ax9/czs/ctm/u8g/gos/occ/o40/ok4/4/ax9czsctmu8ggosocco40ok44.jpeg
36,FLIGHT TUS 35E BK,4840,Пластик,Укулеле,FLIGHT,https://www.muztorg.ru/files/sized/f250x250/dmx/e9x/y5v/hck/gw0/s04/8gw/0k4/g/dmxe9xy5vhckgw0s048gw0k4g.jpg
37,FLIGHT NUS380 TOPAZ,3990,Береза,Укулеле,FLIGHT,https://www.muztorg.ru/files/sized/f250x250/3jo/2ui/v5f/dq8/wck/s4c/g4s/kgk/s/3jo2uiv5fdq8wcks4cg4skgks.jpeg
38,TERRIS JUS-10 BK,1880,Махонь,Укулеле,TERRIS,https://www.muztorg.ru/files/sized/f250x250/263/78g/tzc/76s/w84/480/84o/wow/s/26378gtzc76sw8448084owows.jpg
39,ENYA EUS-20,6600,Пластик,Укулеле,ENYA,https://www.muztorg.ru/files/sized/f250x250/9pi/ia2/78e/voc/s48/000/s80/skc/8/9piia278evocs48000s80skc8.jpg
40,FENDER Fullerton Strat Uke Black,32000,Липа,Укулеле,FENDER,https://www.muztorg.ru/files/sized/f250x250/eza/s5b/4mo/d4c/w4g/0k0/s8o/gcs/ezas5b4mod4cw4g0k0s8ogcs.jpeg
41,FLIGHT DUS 321 MAH/MAH,6310,Липа,Укулеле,FLIGHT,https://www.muztorg.ru/files/sized/f250x250/bl9/5qh/iaa/1w0/cgw/kco/44k/4k4/s/bl95qhiaa1w0cgwkco44k4k4s.jpg
42,WATERMAN by KALA KA-SWT Waterman Translucent Soprano Ukulele,3075,Яблоня,Укулеле,WATERMAN,https://www.muztorg.ru/files/sized/f250x250/ej1/dt0/spi/2o0/g00/ck8/8ck/gco/ej1dt0spi2o0g00ck88ckgco0.jpg
43,VESTON KUS 25 BUNNY,3220,Липа,Укулеле,VESTON,https://www.muztorg.ru/files/sized/f250x250/9rh/bxw/18r/8so/kc8/ssk/04c/c8c/9rhbxw18r8sokc8ssk04cc8c0.jpg
44,ENYA EUC-25D,10500,Липа,Укулеле,ENYA,https://www.muztorg.ru/files/sized/f250x250/1fe/0zh/f8t/5og/0kc/gcg/48o/c48/8/1fe0zhf8t5og0kcgcg48oc488.jpg
45,KALA MK-SS/BLK MAKALA SHARK; SOPRANO UKULELE; BLACKTIP.,5400,Ольха,Укулеле,KALA,https://www.muztorg.ru/files/sized/f250x250/1v4/duw/bam/av4/8ow/oc0/sso/8sk/k/1v4duwbamav48owoc0sso8skk.jpg
46,TERRIS JUS-20 MUSHROOM,2330,Пластик,Укулеле,TERRIS,https://www.muztorg.ru/files/sized/f250x250/7nx/lpp/w5x/zc4/4cs/ock/4ws/cos/w/7nxlppw5xzc44csock4wscosw.jpg
47,VESTON KUS 15GR,2529,Береза,Укулеле,VESTON,https://www.muztorg.ru/files/sized/f250x250/649/id2/i1j/7gg/c0k/44o/8so/wwo/c/649id2i1j7ggc0k44o8sowwoc.jpg
48,ENYA EUT-20,8700,Пластик,Укулеле,ENYA,https://www.muztorg.ru/files/sized/f250x250/40a/fse/st7/zuo/wkg/4ws/wos/008/4/40afsest7zuowkg4wswos0084.jpg
49,KALA KA-15C Kala Mahogany Concert Ukulele; No Binding,5475,Яблоня,Укулеле,KALA,https://www.muztorg.ru/files/sized/f250x250/7qn/ch9/cqs/z4s/gck/kk4/k0o/008/8/7qnch9cqsz4sgckkk4k0o0088.jpg
50,FLIGHT DUC 525 CEQ SP/ZEB,12050,Орех,Укулеле,FLIGHT,https://www.muztorg.ru/files/sized/f250x250/dt8/el5/fg9/zww/c00/ggc/swo/ckk/8/dt8el5fg9zwwc00ggcswockk8.jpg
51,FLIGHT TUS 25 SURF,3630,Липа,Укулеле,FLIGHT,https://www.muztorg.ru/files/sized/f250x250/cwy/k4o/ksv/hck/wsw/cw8/40w/c4o/cwyk4oksvhckwswcw840wc4o.jpg
52,TERRIS PLUS-70 AVOCADO,2230,Липа,Укулеле,TERRIS,https://www.muztorg.ru/files/sized/f250x250/e1b/3g9/jb3/dw0/ows/s4c/oog/ow8/g/e1b3g9jb3dw0owss4coogow8g.jpeg
53,WIKI UK10S/NA,2990,Махонь,Укулеле,WIKI,https://www.muztorg.ru/files/sized/f250x250/dfm/i7r/jfp/wgk/8c0/8gc/8k0/0kk/c/dfmi7rjfpwgk8c08gc8k00kkc.jpg
54,FLIGHT DUT 34 CEQ MAH/MAH,11840,Махонь,Укулеле,FLIGHT,https://www.muztorg.ru/files/sized/f250x250/3j8/j2z/s27/igw/cc4/gs8/04g/kks/4/3j8j2zs27igwcc4gs804gkks4.jpg
55,ENYA EUT-25D,11400,Дуб,Укулеле,ENYA,https://www.muztorg.ru/files/sized/f250x250/dmt/cib/f07/eo0/44s/wwo/wgs/cko/o/dmtcibf07eo044swwowgsckoo.jpg
56,FLIGHT Pathfinder Tenor TBL,19270,Дуб,Укулеле,FLIGHT,https://www.muztorg.ru/files/sized/f250x250/81n/mkx/3be/b0o/wsg/w8s/w8s/k0c/8/81nmkx3beb0owsgw8sw8sk0c8.jpg
57,FLIGHT DUC450 MANGO,11010,Липа,Укулеле,FLIGHT,https://www.muztorg.ru/files/sized/f250x250/c3i/5gl/id4/f4k/o0s/kg4/o8s/0ks/c/c3i5glid4f4ko0skg4o8s0ksc.jpg
58,FLIGHT DUC 460 AMARA,10330,Дуб,Укулеле,FLIGHT,https://www.muztorg.ru/files/sized/f250x250/3up/ezx/dki/30g/4c0/csw/844/sgc/3upezxdki30g4c0csw844sgc.jpg
59,WIKI UK10G/BK,2990,Орех,Укулеле,WIKI,https://www.muztorg.ru/files/sized/f250x250/219/ms8/x5r/2bo/c84/o8w/kg0/kow/o/219ms8x5r2boc84o8wkg0kowo.jpg
